ingredient,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g
tomato_ripe_local_solanum_lycopersicum,19.6,0.9,2.71,0.47,1.77
zucchini_green_cucurbita_pepo,20.08,1.1,2.33,0.51,2.3
zucchini_yellow_cucurbita_pepo,18.88,1.31,2.2,0.44,1.84
cowpea_pods,48,3.5,8.1,0.2,2
double_beans,85,8.3,12.3,0.3,4.3
drumstick_flowers,50,3.6,7.1,0.8,1.3
ghosala,18,1.2,2.9,0.2,2
kankoda,52,3.1,7.7,1,3
karonda_fresh,42,1.1,2.9,2.9,1.5
karonda_dry,364,2.3,67.1,9.6,0
kheksa,29,0.6,6.4,0.1,1.6
lakuch_raw,73,1.6,13.9,1.2,2.8
lotus_stem_dry,234,4.1,51.4,1.3,25
leeks,77,1.8,17.2,0.1,1.3
pink_beans,44,3.1,7,0.4,2.1
pumpkin_flowers,39,2.2,5.8,0.8,0.7
sundakai_dry,269,8.3,55,1.7,17.6
sword_beans,44,2.7,7.8,0.2,1.5
vegetable_marrow,17,0.5,3.5,0.1,0.8
water_chestnut_dry,330,13.4,68.9,0.8,0
agathi_flowers,26,1,4.4,0.5,0.8
artichoke,79,3.6,16,0.1,1.2
bagnaha,1.5,6.1,11.5,3.8,9.6
borooee_raw,64,1.5,14.1,0.2,2.3
chaltha,59,0.8,13.4,0.2,2.5
kandan_kathiri,39,3.1,4.8,0.8,14.2
lotus_seed_green_and_mature,57,3.9,8.8,0.7,0.9
madapu_ginja,340,20.2,22.4,18.8,0
phutka_chattoo,75,3.9,14.1,0.4,0
nisorha_flowers,61,4.7,9.3,0.5,3.3
rhubarb_stalks,26,1.1,4.3,0.5,0.3
sanga_ka_phal,99,1.5,23.1,0.1,1
sannhemp_flowers,66,4.8,10.4,0.6,3.9
sea_weeds_fresh,20,0.8,3.7,0.2,0.3
sea_weeds_dry,255,10.8,51.2,0.8,5
silk_cotton_flowers,47,1.5,9.5,0.3,1.6
tetralobar_bean,30,1.9,4.8,0.4,1.8
water_lily_flowers,33,1.6,5.4,0.6,0.9
curly_kale_raw,33,3.4,1.4,1.6,0
tomatoes_cherry_raw,22,1.1,3.6,0.5,1.3
sweetcorn_kernels_raw,60,3.4,8.1,1.8,0
olives_green_in_brine_drained_flesh_and_skin,103,0.9,0,11,0
gherkins_pickled_drained,14,0.9,2.6,0.1,1.5
pickle_sweet,111,0.6,28,0.1,1.2
pitted_black_olives,133,0,6.67,13.33,0
beans_broad_whole_raw,59,5.7,7.2,1,0
apple_big_malus_domestica,62.38,0.29,13.11,0.64,2.59
apple_green_malus_domestica,51.15,0.46,10.65,0.5,2.54
apple_small_malus_domestica,63.81,0.31,13.95,0.53,2.06
apple_small_kashmir_malus_domestica,64.29,0.27,13.99,0.6,2.07
apricot_dried_prunus_armeniaca,315.72,3.17,72.63,0.74,3.32
apricot_processed_prunus_armeniaca,56.4,1.47,10.93,0.64,0.59
avocado_fruit_persea_sp,144.36,2.95,1.75,13.86,6.69
bael_fruit_aegle_marmelos,135.99,2.63,28.21,0.57,6.31
banana_ripe_montham_musa_x_paradisiaca,110.66,1.25,24.95,0.32,2.21
banana_ripe_poovam_musa_x_paradisiaca,106.36,1.49,23.41,0.35,2.33
banana_ripe_red_musa_x_paradisiaca,111.61,1.29,25.21,0.29,1.98
banana_ripe_robusta_musa_x_paradisiaca,105.16,1.23,23.63,0.33,1.94
black_berry_rubus_sp,54.25,0.92,10.64,0.63,4.35
cherries_red_prunus_cerasus,59.75,1.49,11.87,0.46,2.12
currants_black_ribes_nigrum,54.25,1.51,9.93,0.53,4.07
